dataset,dataset_version,split,official_image_id,file_name,width,height,annotation_file_sha256,image_sha256,image_status
AI-TOD-v2,2.0 official annotations,train,7450,0000001_03499_d_0000006__1120_280.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,6699,0000001_07999_d_0000012__1120_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,4251,0000002_00448_d_0000015__160_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,309,0000040_04284_d_0000071__160_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,6513,0000042_01000_d_0000074__0_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,7869,0000042_01000_d_0000074__160_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,10509,0000042_02231_d_0000075__0_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,5770,0000042_02231_d_0000075__160_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,3395,0000042_02421_d_0000076__160_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,651,0000043_00500_d_0000077__0_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,5214,0000043_00500_d_0000077__160_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
AI-TOD-v2,2.0 official annotations,train,7807,0000045_00000_d_0000083__0_0.png,800,800,ed7b37a1187b496b96943fa46c15aab39656d59eaf501192d85178354b637b2e,,NOT_ACQUIRED
