source_id,sequence_id,original_path,derived_path,split,augmentation_id,image_hash,annotation_hash,width,height,num_objects,exposure_status
baidu_P000_16,baidu_P000_16,,data/train/images/baidu_P000_16_jpg.rf.418fd9bd50b4b5a84868989d766fa45b.jpg,legacy_train,418fd9bd50b4b5a84868989d766fa45b,c17faa2bad299ad978537a18814e29104c1baace32eeea3d7c6871ebb18b75ba,0d8d679078b22e6ddf3c3be617b8bc23773a1e998b5a68384e513805c82e200b,1024,683,74,historical_train
baidu_P000_16,baidu_P000_16,,data/train/images/baidu_P000_16_jpg.rf.98d4a432bafca480cbc0c0d1b9ef7609.jpg,legacy_train,98d4a432bafca480cbc0c0d1b9ef7609,745190b682e2ce8804f87b9483ad60970359fc1fc53dcbf4b9b14695ea63e11a,bacc43d43e76560bd31d96cb7a57a473229b261996b92ce2a604b3d8cc19e5fb,1024,683,72,historical_train
baidu_P000_16,baidu_P000_16,,data/train/images/baidu_P000_16_jpg.rf.c21018875e0b00fb62f4e55f0fae9c3d.jpg,legacy_train,c21018875e0b00fb62f4e55f0fae9c3d,9b8c6ee9d5e57101a1ed9896ab3f833e88a137dfdab8d52879daec709a3411a8,49a0984d5c7db465184236a13020e0bb595da6b0feb145719d46655dca8dfc74,1024,683,74,historical_train
baidu_P000_4,baidu_P000_4,,data/train/images/baidu_P000_4_jpg.rf.44a6a48253a3cc005093152b0e38ea2d.jpg,legacy_train,44a6a48253a3cc005093152b0e38ea2d,b1c11f5e0519d73f8da8309965dffbd222e4d06e0d7d400dc57cafd277c17656,f9d38b6e0ea63843fd4d51b521f4ed3b95782d90fe03c74d288b2ed7524b0b12,1200,900,121,historical_train
baidu_P000_4,baidu_P000_4,,data/train/images/baidu_P000_4_jpg.rf.726a781d6cddf2c5371a40286a6d954f.jpg,legacy_train,726a781d6cddf2c5371a40286a6d954f,895fec5dc292e7990af00d25c608aec34d99c50e3021b22b1a7eded0db8ea2dc,df8b0bbe98431a31566bb247af571e96c447aa62ee8aa88af71ba73b0d12d932,1200,900,117,historical_train
baidu_P000_4,baidu_P000_4,,data/train/images/baidu_P000_4_jpg.rf.f61e1aab497586b6922b791be881e338.jpg,legacy_train,f61e1aab497586b6922b791be881e338,fcf84309c23cf28d6bddca64d6d3a5f3c38b514d69de05e38dbaa398f48e3d87,bcabe832166ce2ad37b13c2b3b228ba12a876413280c3acbdd89ba6bdf0c2384,1200,900,120,historical_train
baidu_P000_timg-1-,baidu_P000_timg-1-,,data/train/images/baidu_P000_timg-1-_jpg.rf.26574ceb3517f1dabd627abbe89ac8f5.jpg,legacy_train,26574ceb3517f1dabd627abbe89ac8f5,841036c121fedb73dd42ea3322afdf18cb154061741549b212fcb1c63249ced2,105ad63c03c3a4123337ce4776d693317c082326326250a29d1fa1047d6a1eb9,1200,674,354,historical_train
baidu_P000_timg-1-,baidu_P000_timg-1-,,data/train/images/baidu_P000_timg-1-_jpg.rf.269ec7ea205c09ad4baafb979c2f2287.jpg,legacy_train,269ec7ea205c09ad4baafb979c2f2287,36dac259a24e1efd537c66d410b2ab0916716bf14a6a5bd237ca95b42a17c9a2,da6eec20d323c619179a4995c0e59ae5320da2b39eda8d901b66e643ac11f5f9,1200,674,356,historical_train
baidu_P000_timg-1-,baidu_P000_timg-1-,,data/train/images/baidu_P000_timg-1-_jpg.rf.bec7f5d0159a46481c8555cb0f204fa5.jpg,legacy_train,bec7f5d0159a46481c8555cb0f204fa5,b665cbc8e1f365fbe2485b36177f7c5ccb2131c3af2adeacf684d17b8a628332,b83fb4ffccb03ac9b5489e930e17fd6537522c59552f87fc883a5733dd526316,1200,674,356,historical_train
baidu_P000_timg-25-,baidu_P000_timg-25-,,data/train/images/baidu_P000_timg-25-_jpg.rf.0dbfbd1617e04a434696c86226a56233.jpg,legacy_train,0dbfbd1617e04a434696c86226a56233,d7b26134ed28c9207ad3b77034a9a571981311bdd993b0f4a33f64ec67d418a2,80bd53a95f77fb971cafa20c186cb2909a1fd66528909ca0eb3cdc0aebe58a16,1280,725,231,historical_train
