split,class_id,class,cx,cy,bw_px,bh_px,area_px,sqrt_area,aspect,area_frac
train,0,dry-person,0.49042731494140623,0.2918144882869692,4.602661000000012,8.446868999999964,38.87807451840894,6.2352285057092285,0.5448955109875661,5.558838894126461e-05
train,0,dry-person,0.09025484326171875,0.23338713323572474,3.8339229999999986,11.178986000000004,42.859371542078,6.546706923490466,0.34295802857253754,6.128090047080607e-05
train,0,dry-person,0.49591246240234377,0.29357948169838943,4.83520500000003,7.218414000000016,34.902511464870294,5.907834752671261,0.6698431262047341,4.9904075918612585e-05
train,0,dry-person,0.8795066474609374,0.2911380754026354,3.19824200000005,6.656188999999987,21.288103219738293,4.613903252099928,0.48049146441004853,3.0438013617167902e-05
train,0,dry-person,0.09570649267578125,0.23025561859443633,4.201447000000002,10.589996999999968,44.493311125658884,6.670330660893723,0.39673731730046896,6.361712905732248e-05
train,0,dry-person,0.7098883989257811,0.29227437481698393,4.165161000000012,9.864593999999977,41.08762220963402,6.4099627307523415,0.42223339348786393,5.874762966924703e-05
train,0,dry-person,0.2202867421875,0.19980345461200583,6.251526000000013,11.291473000000012,70.58893703779822,8.401722266166516,0.553650174782334,0.0001009290026734624
train,1,wet-swimmer,0.793116271484375,0.3429540636896047,4.23461999999995,6.232970999999994,26.39426365601966,5.137534783923089,0.6793902939705566,3.773886984126164e-05
train,0,dry-person,0.753301083984375,0.27005798023426064,4.358032000000094,11.000274999999997,47.939550458801016,6.923839286032065,0.3961748229021634,6.854460797206862e-05
train,0,dry-person,0.662136197265625,0.2603488550512445,3.823120000000017,10.526642000000008,40.24461556304021,6.343864402951896,0.36318514489236114,5.7542287534087054e-05
train,0,dry-person,0.7597099541015625,0.270353817715959,4.9681399999999485,8.54144300000002,42.43508462601966,6.514221720667762,0.5816511331867387,6.067424938520838e-05
train,0,dry-person,0.43645787255859375,0.2722775863836018,4.08758499999999,8.703430999999973,35.576014004134805,5.964563186364514,0.4696521406328151,5.086705882271288e-05
train,0,dry-person,0.590616703125,0.26451521888726204,5.046263999999951,9.76480099999999,49.27576375346347,7.01966977524324,0.5167810383437365,7.045514354391168e-05
train,1,wet-swimmer,0.9606716630859375,0.31629264641288435,6.413695999999959,7.122009000000023,45.678400635263856,6.758579779455434,0.9005458993382258,6.531158582778164e-05
train,0,dry-person,0.6188284755859375,0.2592487920937042,6.691893999999934,8.845061999999972,59.19021732742723,7.693517877241024,0.7565683541845105,8.463096135990578e-05
train,0,dry-person,0.7430127265625,0.25845924524158126,4.559814000000074,9.036376999999973,41.204198353878546,6.419049645693554,0.5046064368496453,5.8914311793498564e-05
train,0,dry-person,0.33325430712890625,0.27221020644216687,6.010071000000039,8.603180000000044,51.7057226257806,7.190669136163936,0.6985871503327848,7.392953111528385e-05
train,0,dry-person,0.5433411000976562,0.2557219341142021,4.513183000000026,12.355345999999985,55.761937526318256,7.467391614634809,0.3652817978549554,7.972916122334579e-05
train,0,dry-person,0.29362565283203124,0.1987591090775988,5.30072100000001,12.047577000000013,63.86084440301719,7.991298042434482,0.43998233005690723,9.130908618202266e-05
train,0,dry-person,0.4920097587890625,0.2619479897510981,4.157410000000027,11.145873999999996,46.337968026340285,6.807199719880436,0.37299991010126515,6.625464407133665e-05
